id,text,label
3689,when can i change my credit limit,credit_limit_change
11319,i need the cooking length for a turkey,cook_time
12091,please start using female voice,change_accent
1347,what is the miles per gallon,mpg
3835,"i'd like to send a text to jack, say hi",text
18904,"find a chow mein recipe for me, please",recipe
10812,i'm traveling between denver and la so tell my bank,travel_notification
2125,how do i report the card as lost,report_lost_card
6687,tell me the types of subjects are you familiar with,what_can_i_ask_you
14196,i have to go ai goodbye,goodbye
3861,how much is my telephone bill this month,bill_balance
6319,you can call me john,change_user_name
10362,what is six divided by 16,calculator
5563,do you know any fun facts about australian football,fun_fact
4671,help me transfer $x from credit to debit,transfer
15686,i want whisper mode,whisper_mode
3687,what interest rate does my checking account come with,interest_rate
12164,do you know where my w-2 is,w2
2559,z uses which type of plug,plug_type
2366,hoq many calories does pasta have,calories
2876,what exactly is my pin,pin_change
263,how do i get help with a vacation itinerary,pto_request
10649,can you count for me the total number of days off i have used,pto_used
5913,what is the time right now,time
644,what subjects are you experienced in,what_can_i_ask_you
20391,i need to know this car's mpg,mpg
1508,what stuff am i trying to remember,reminder
14781,list the ingredients in pizza,ingredients_list
11037,i have much gratitude for your help,thank_you
4581,how do they say what's up in chinese,translate
2499,"i need a meeting room between 3-7, are any available",schedule_meeting
18475,can i call you something else,change_ai_name
8694,how do i go about applying for a new credit card,new_card
11560,"i can't find my mastercard and i want to report it as lost, please",report_lost_card
5206,are there any travel alerts for ukraine,travel_alert
11272,is there a time limit on leaving pork in the fridge,food_last
19289,can you tell me about the traffic typically at noon on the route the hospital,traffic
17209,text chris and ask what time he will be home,text
19006,what is my pay for this year,income
4130,i need to cancel my reservation after all,cancel_reservation
20092,who brought you into existence,who_made_you
14382,do you know the name of this song,what_song
3850,how much does my water and electricity cost,bill_balance
3171,can you adjust the lights down,smart_home
20916,can you show me how to report a lost card,report_lost_card
12457,my card is cracked and i want to report it,damaged_card
16196,can you tell me the location of the nearest bank,directions
17149,read my entire shopping list to me,shopping_list
10522,is there are limit of carry ons for my flight with aer lingus to cork,carry_on
16,how do i say bathroom in italian,translate
15860,do i need a visa to travel to canada,international_visa
8282,i really want to pay my cable bill from my checking account,pay_bill
21009,change to a different accent,change_accent
14774,what do you need to make dandelion wine properly,ingredients_list
4757,i need a timer for 20 seconds,timer
19124,i wanna buy a pair of shoes online now,order
11273,when does pork go bad in the fridge,food_last
15864,might i need to get a visa to travel to venezuela,international_visa
3244,show me what the weather is like,weather
15466,how much money will i get or owe on my federal tax return,taxes
2073,make a reminder to pay the mortgage,reminder_update
21109,how are the fried chicken at zippys,restaurant_reviews
20500,read my reminder list back to me,reminder
2736,what is my credit card spending limit,credit_limit
7748,whats the timezone for san fransico,timezone
518,can you please do a simulated coin flip for me ai,flip_coin
15608,whisper for me,whisper_mode
20453,please do a search for entertaining activities for tourists in mexico city,travel_suggestion
20054,please put a hold on my retirement account right now,freeze_account
1762,i need to know what 25 times 38 is,calculator
3314,what is the minimum i can pay on my insurance bill,min_payment
18141,please add the immigrant song by led zeppelin to my playlist,update_playlist
4277,"can you give me instructions on how to jump start my car, please",jump_start
4137,"i need to cancel my reservation after all, please",cancel_reservation
11508,my visa card got stolen,report_lost_card
12347,how many calories are in a bag of regular doritos,calories
6242,flip a coin; i say tails,flip_coin
13007,do you need a special outlet converter in sweden,plug_type
6288,"ai, give me the results of a coin flip",flip_coin
20665,multiply 7 and 42,calculator
9083,how long is an oil change good for,oil_change_when
5311,can you set up a pto request for me for march 20th to april 12th,pto_request
12760,"think about if you could only say one or the other, which animal do you see yourself choosing, cats or dogs",do_you_have_pets
13799,can i make a reservation for redrobin,accept_reservations
19304,can i get more checks,order_checks
19140,purchase a computer for me,order
7135,i must confirm my reservation for 2/20 at 8 pm,confirm_reservation
8994,what's the mileage on my car,mpg
5361,would it be possible to make a pto request for january 15th and 16th,pto_request
5614,please change the language that you are responding in,change_language
6456,where did you live previously,where_are_you_from
15824,tell me whether i need an international visa to go to mexico,international_visa
19181,i'm lacking vitamins so order me more,order
4028,will i run out of gas before i reach atlantic city,gas
949,i would like to know the name you have for me,user_name
20253,pay my water bill from my chase account please,pay_bill
4198,can i call you james instead,change_ai_name
1961,thanks a million,thank_you
5161,can you help locate my phone,find_phone
8996,how many miles will a gallon of gas take this car,mpg
17353,how much are my cable and water bills,bill_balance
21275,i would like to know when is the next holiday here,next_holiday
4895,tell me what alternative means,definition
11051,your efforts don't go unnoticed,thank_you
11239,how long can i keep fish in the freezer before it gets ruined,food_last
9284,what do people in sioux falls do for fun,travel_suggestion
21105,do you know how the ratings are for yardhouse,restaurant_reviews
1017,play the next song please if you would,next_song
13526,"when asked who you work for, what would you say",who_do_you_work_for
20741,i'd like to make an appointment to get my oil changed,schedule_maintenance
19158,can you order everything on my shopping list,order
19846,please flip a coin,flip_coin
5294,search for any travel alerts for canada,travel_alert
8839,im sorry can you repeat yourself,repeat
16544,what name do you like to go by,what_is_your_name
11714,i am going to call the landlord,make_call
12869,can you schedule a meeting with matt for 3,schedule_meeting
20931,is butter ok to use instead of oil,ingredient_substitution
18324,i would like to listen to a funny joke,tell_joke
20859,how long do i need to cook pot au feu for,cook_time
16936,what things do you enjoy doing,what_are_your_hobbies
22005,i need a flight from denver international to new york for under 700 on the 3rd,book_flight
13863,do they take reservations at bjs,accept_reservations
5063,i gotta switch to a new insurance plan,insurance_change
7626,you saved my name how,user_name
10796,find me a mechanic,schedule_maintenance
14631,tell me the meeting schdule please,meeting_schedule
18614,i want to rent a bmw suv for dallas from march 2 to 6th,car_rental
13907,are you able to figure out where my package is,order_status
15684,6 inch voices please,whisper_mode
7542,approximately how long does it take to get to the resort in miami,distance
17950,what level is my gas at,gas
4952,what is the underlying purpose to life,meaning_of_life
5574,tell me a fun fact about butterflies,fun_fact
5987,"what's the current time, please",time
9037,i need to know when should i get my oil changed next,oil_change_when
16297,i don't know how to spell drought,spelling
13184,how long before i need to replace my tires after i replaced them on 2/24/18,tire_change
14284,i think my account is blocked,account_blocked
2934,can you help me unblock my account,account_blocked
18062,can you find out for me when my credit card will be expiring,expiration_date
9245,what are some fun things to do in sweden,travel_suggestion
2545,which type of gas does this car take,gas_type
12622,what's my routing number from chase,routing
11342,for how long should i bake the brownies,cook_time
5399,what steps should i take to improve my credit score,improve_credit_score
5862,what's the expected time to have a stolen credit card replaced,replacement_card_duration
14748,what should i buy to make burritos tonight,ingredients_list
5071,how can i get new insurance,insurance_change
14542,when were my tires changed,last_maintenance
13565,do you work for anyone else,who_do_you_work_for
4639,transfer 200 dollars from paypal to savings,transfer
8250,pay my electric bill from my park bank account,pay_bill
12638,i must learn my routing number,routing
19951,i don't know the anwser,maybe
4898,tell me the meaning of alternative,definition
8310,how much did i spend on lunches last week,spending_history
13383,is the next day off coming up,next_holiday
19755,what date is the next day i get paid,payday
16351,hola,greeting
9862,that isn't the right answer,no
21521,do i have any meetings on my calendar today,meeting_schedule
13694,how much can i charge on my visa,credit_limit
3358,stop whisper mode,whisper_mode
15720,can you cancel what you were doing,cancel
20521,can you slow down your rate of speech,change_speed
12286,i want to know when a bill is due,bill_due
13572,who would you say that you are working for,who_do_you_work_for
3950,play music by ludacris,play_music
1561,give me the tire pressure for the car,tire_pressure
608,add milk to my shopping list,shopping_list_update
5857,my credit card was stolen; how long before a new one will arrive,replacement_card_duration
7503,is the ride short to the airport in la,distance
2501,are meeting rooms free between 8-3,schedule_meeting
11643,i wanna sub sugar for salt,ingredient_substitution
18506,how many years do you have,how_old_are_you
21972,i would like my credit limit increased to 5000 dollars,credit_limit_change
1158,"looking at the past month, what did i spend total",spending_history
9308,are my health benefits good,insurance
7820,play the next tune,next_song
12846,put a meeting on my schedule with pam for 3:00pm on february 11th,schedule_meeting
10648,look up the amount of vacation days i have used please,pto_used
13423,i need you to increase your volume,change_volume
14059,change the pin on my redwood credit union account to be 1234,pin_change
5016,how do i get different terms on my insurance policy,insurance_change
19313,i don't have anymore checks for chase and need some,order_checks
4991,"i always wonder about the meaning of life, can you tell me",meaning_of_life
6429,what place were you created in,where_are_you_from
21851,please spell doctor,spelling
19356,can i get new checks to replace the ones we ran out of,order_checks
2764,how long is the wait at fridays,how_busy
20323,tell me how i can apply for a chase credit card,new_card
7051,what's my bank balance,balance
7604,what is the name you call me saved as,user_name
9241,what things are there to do in kentucky,travel_suggestion
12059,make your accent the male british one,change_accent
16712,what's the interest rate on my savings,interest_rate
12970,what kind of gas does this car use,gas_type
538,"flip the coin, i choose heads",flip_coin
2282,where can i get my w2 from,w2
17872,please tell me if you are an ai,are_you_a_bot
1150,how much money did i spend this weekend,spending_history
20289,check if my vacation time has been approved,pto_request_status
7954,view my transactions for the last week,transactions
3789,what's on my purchase list,shopping_list
8514,what is my credit score,credit_score
22291,i want your name to be john,change_ai_name
3820,please text john,text
16969,what makes you happy in your free time,what_are_your_hobbies
22310,hey how old are you,how_old_are_you
20364,what did you just ask,repeat
22025,do i have toothpaste on my shopping list,shopping_list
751,what's my current bank account total,balance
14489,are there international transactions fees for rainbow card,international_fees
11178,roll the die!,roll_dice
8411,is my day off request approved,pto_request_status
4522,how would i say if i were english subway,translate
12155,is this where i get a w2,w2
17809,you sound like a bot,are_you_a_bot
18347,tell me something that'll make me laugh,tell_joke
19203,is the traffic bad at 5:00 if i'm going to the mall,traffic
18951,how do you cook meatloaf,recipe
18834,what's the best pizza place around here,meal_suggestion
13157,when ought i get my tires changed next,tire_change
14031,swap my amex pin to 1234,pin_change
20977,can you set up alarms for one in the afternoon and ten at night,alarm
8034,is there a good fish place in salem,restaurant_suggestion
768,how much dough do i have in my bank accounts,balance
5775,when was the last date that i was paid,payday
7931,can you list all of my online transactions for the month of january,transactions
9701,what's the amount of air in my tires right now,tire_pressure
8529,"if i want my credit score, how do i find it",credit_score
3884,let ann and scott know where i am,share_location
10685,tell me the number of days off i took this year,pto_used
15628,turn your volume up,whisper_mode
2,how do you say fast in spanish,translate
7469,the programmer who made you is who,who_made_you
21472,what song is playing right now,what_song
9828,"no, that information is wrong",no
6359,would you call me mary,change_user_name
7067,what's my account balance,balance
14713,tell me what ingredients i need for carne asada,ingredients_list
6804,please tell me how to change the oil in my car,oil_change_how
14990,how many meters are in 10 millimeters,measurement_conversion
8064,where are some good thai restaurants in las vegas,restaurant_suggestion
3509,spell aaron,spelling
4787,make a timer for 5 minutes,timer
12826,schedule a meeting with tom for 6pm,schedule_meeting
167,let me know the process for new insurance,insurance_change
9373,"what type of insurance plan am i enrolled in, please",insurance
4745,please set the timer for me,timer
22230,i want to put thank you on my playlist called relaxing jams,update_playlist
11253,cut carrots can stay in the fridge for how long before going bad,food_last
11891,please create one alarm for 330 pm and one for 8 pm,alarm
9265,"is there anything fun to do in manassas, virginia",travel_suggestion
18748,find auto store that tests dead car batteries for free,jump_start
21254,what can i get for 10 usd in cad,exchange_rate
17317,let me know the amounts i owe for my utilities and tuition bills,bill_balance
16959,what things do you do for fun,what_are_your_hobbies
3927,how do i redeem my visa points,redeem_rewards
5338,"is it possible for me to take a pto for two days, starting february 7",pto_request
6052,has there been any changes in the status of my credit card application,application_status
12773,do you like cats or dogs,do_you_have_pets
13971,has my order been shipped yet,order_status
7523,give me the time left before i get to the hotel,distance
20427,you are correct,yes
4725,i must set a timer,timer
6109,when will my flight land,flight_status
15830,i need to know if i need a visa to travel to el salvador,international_visa
17068,purchase a flight from slc to columbus on tuesday that returns on friday,book_flight
500,has flight dl123 landed,flight_status
12723,how many different pets do you have,do_you_have_pets
14198,see you later!,goodbye
16574,what name do you want to be called,what_is_your_name
19165,i'm making a purchase and need the help of ai,order
4390,get me an order of creatine powder,order
20592,is my card's apr good,apr
7460,tell me the company that produces you and similar machines,who_made_you
10401,tell me what date it is please,date
19668,i would like to know if i can put a pto request in for march 19 to march 20,pto_request
9134,that is correct,yes
7912,i need to know something about my latest transaction,transactions
3326,what is the minimum payable amount for my rent bill this month,min_payment
22482,my debit card was rejected at ella's and i want to know why,card_declined
7000,check chase bank for my checking balance,balance
3006,give me the date that i last got my car checked,last_maintenance
7686,do you know how to refer to me,user_name
2812,do you know if taco bell takes reservations,accept_reservations
10118,how is my calendar looking for may 6th,calendar
1869,can someone take a look at my car because the check engine light is on,schedule_maintenance
8718,can you please help me find my lost luggage,lost_luggage
6853,how do i change the oil for my car,oil_change_how
6714,i do not know that,maybe
7396,"i need to get some assistance figuring out how to rollover my 401k, please",rollover_401k
22295,i think i want your name changed to fred,change_ai_name
5065,i need to switch to a new insurance plan,insurance_change
7243,i need to hold off on my account,freeze_account
17373,what's the sum of all i owe on bills this month,bill_balance
6449,are you from the uk,where_are_you_from
12310,how many calories are in a can of coke,calories
741,are there any open reservations at outback tonight,restaurant_reservation
5773,when was the last date that i got paid,payday
704,can you teach me how to change my oil in my car,oil_change_how
5593,explain to me the trivia on twilight,fun_fact
2509,friday 5pm schedule a room for meeting,schedule_meeting
2311,how long until my water bill is due,bill_due
21770,does south korea require an international visa,international_visa
42,can you please help me move $100 from my checking to saving account,transfer
18491,can i call you lucy from now on,change_ai_name
13451,i want that volume bumped up to 4,change_volume
19399,why did my card not get accepted,card_declined
18620,id like to rent a ford in denver colorado between january 1st to the 3rd,car_rental
1264,i seem to have lost my luggage! what are my options now,lost_luggage
18312,please tell me a joke,tell_joke
6630,can i ask you about anything,what_can_i_ask_you
16331,how are things for you,greeting
6025,will i be notified when my application has been processed,application_status
4272,what steps do i need to follow to jump start my car,jump_start
14754,what do i need if i want to make lasagna,ingredients_list
14456,will i be charged if i use the card in germany,international_fees
13248,what is the exchange rate from pounds sterling to us dollars,exchange_rate
5300,am i allowed to put in a pto request for now to april,pto_request
19438,what was the problem with my card yesterday,card_declined
17278,text paul and ask him what time the cookout is on saturday,text
4800,what is regard mean,definition
11556,i need to report my stolen card,report_lost_card
13657,i would love to know my spending limit,credit_limit
9161,"yes, that's confirmed",yes
21997,which hobbies do you like,what_are_your_hobbies
18842,"i need to cook, what should i make",meal_suggestion
21312,do you work for a different employer,who_do_you_work_for
20703,will jet blue allow more than one carry on,carry_on
1703,"check my calendar for me, please",calendar
1877,can someone look at my check engine light,schedule_maintenance
13409,lower your volume,change_volume
8424,has may supervisor approved the vacation days i asked for,pto_request_status
14517,what day did i last have a technician check out my vehicle,last_maintenance
12209,when's the electric bill due,bill_due
12600,i need to know what my wife's account's routing number is,routing
15499,what's the minimum i owe on the car payment,min_payment
1012,skip this track,next_song
12852,can you put in a meeting for the blue room on friday,schedule_meeting
10644,find out how much of my pto is already used,pto_used
2451,what is the routing number for pnc,routing
3431,before i embark on a trip to europe should i get more shots,vaccines
4157,"i could use a laugh, got any jokes",tell_joke
21698,what amount do i owe in taxes,taxes
7531,where is the closest gas station,distance
13132,when should i get new tires i just replaced them,tire_change
7443,by which company are you designed by,who_made_you
8456,i want to know the status of my day off request,pto_request_status
10814,i need to let my bank know i am traveling to detroit,travel_notification
12635,please find the routing number for chase bank accounts opened in new york,routing
12480,"i bent my card, can you report it to my bank",damaged_card
16364,how have you been,greeting
1485,take dishes off the to do list,todo_list_update
11467,set a new reminder for tomorrow at 4am,reminder_update
8753,i think my luggage got lost,lost_luggage
10388,what is 35 times 23,calculator
2601,how many miles are my tires rated for,tire_change
6600,what are the things you can help me with,what_can_i_ask_you
6145,what time is my plane supposed to arrive,flight_status
15983,can you tell me if there are any shots that i am required to have before traveling to south africa,vaccines
15135,"i'd like you to book me a room in austin near google's headquarters from january 01, 2020 to february 02, 2020",book_hotel
3004,did i bring my car to the shop last week,last_maintenance
4701,set a timer for 5 minutes,timer
1805,can i bring suntan lotion in my carry on,carry_on
8868,"i didn't understand what you just said, can you repeat it",repeat
18691,book me a rental car in aiken on may 12 to may 16,car_rental
9967,this credit card's apr is what,apr
8946,do you know the fuel economy of this car,mpg
6981,please make a reservation at ruth's steaks for a party of five at 7:00 pm under jack arnold,restaurant_reservation
14487,what are the international transactions fees for my industrial bank card,international_fees
21374,is it possible to make a reservation at sushi king in virginia beach,accept_reservations
15793,can you end the task,cancel
2626,what is the exchange rate between euros and pesos,exchange_rate
9715,have my tires got adequate amounts of air in them,tire_pressure
18793,how do i properly give my car a jump,jump_start
13900,track my package please,order_status
9289,what should i do in bangor,travel_suggestion
11570,i think my card is stolen and needs to be reported,report_lost_card
18369,make me giggle,tell_joke
7938,let me know the list of transaction on my first hawaiian bank,transactions
1473,cross off grocery shopping from todo list,todo_list_update
18875,do you have any southern dishes to recommend,meal_suggestion
2306,i wanna know where the w2 is,w2
4647,what is the process to move money from one account to another,transfer
21771,will i need an international visa to go to madagascar,international_visa
15500,what's the least amount i need to pay on the electric bill,min_payment
14897,discover card reporting fraud,report_fraud
15677,start using whisper mode,whisper_mode
12450,my card is partially damaged how do i report this,damaged_card
5116,please help me figure out where my lost phone is,find_phone
11181,roll them bones!,roll_dice
22016,i'm seeking a full circle flight from msy to msp for w to june 7,book_flight
2828,give me the status of my order,order_status
12148,"where can i get the employment form i need to do my taxes, please",w2
13221,how many dollars can i exchange for 5000 rubles,exchange_rate
3212,what's my map location,current_location
17829,are you a human,are_you_a_bot
1991,make a roll of the dice,roll_dice
3078,what do i need to make macaroni,ingredients_list
12101,where can i locate my w-2 form,w2
12775,"if you had to choose, cat or dog",do_you_have_pets
16349,why hello,greeting
21279,make your volume quieter please,change_volume
19558,please make the timer for cooking for for 2 hours,timer
504,what time is boarding scheduled,flight_status
1476,take everything off my to do list please,todo_list_update
18216,call the restaurant and cancel my reservation,cancel_reservation
19056,i want you to tell me about my income,income
12612,what's bank of america's routing number,routing
5158,i lost my phone and need help retrieving it,find_phone
7480,"the creator of your ai, what is their name",who_made_you
15341,what is the temperature in costa mesa,weather
4443,"could i get some more checkbooks sent to me, please",order_checks
10187,what is on my schedule for tomorrow,calendar
16317,it's good to see you,greeting
21674,what's today's high and low,weather
7847,go ahead and skip this song and play the next one,next_song
7638,how do you say my name,user_name
22244,forget reservation at oyster bar for tonight,cancel_reservation
20882,i need a reminder to order cookies,reminder_update
8893,can you say again,repeat
12889,during afternoon is there a meeting room to use,schedule_meeting
18573,how old are you today,how_old_are_you
13789,does ihop have a lot of business around 7 am,how_busy
12299,can you provide me the calories in the smoothie,calories
10262,i would like an uber please,uber
7255,i want you to immediatly block any further activity on my bb&t bank account,freeze_account
1532,change voice speed,change_speed
10855,alert my bank and tell them that i'm travelling to paris,travel_notification
20617,is rice good for me,nutrition_info
4204,when were you made,how_old_are_you
1514,what kinds of things are you supposed to remind me of,reminder
22341,how to jump start a car,jump_start
7277,stop payments from my bank,freeze_account
9281,where do you suggest i plan my next vacation,travel_suggestion
3490,where is the nearest fry's,directions
8871,could you repeat what you just said again,repeat
16063,i have how many vacation days left,pto_balance
4282,i really need to jump start my car,jump_start
16360,"ai, how are you doing",greeting
21002,could you please change your accent to the male british one,change_accent
4377,what is my payment going to be,income
6811,what is the way to change motor oil,oil_change_how
3662,what's the apr on my savings account,interest_rate
22497,i can't figure out why my card was declined at target,card_declined
18629,i want to rent a car in boston for march 2 until march 4,car_rental
14835,i have transactions on my card that aren't mine,report_fraud
18660,will you help me reserve a rental car for my trip to dallas,car_rental
10110,"can you tell me what's on my calendar for march 05, 2019",calendar
14047,i need to change my pin number for my savings account,pin_change
9643,change the speed of your voice to slower,change_speed
21246,how much country of canada money would i get for $100,exchange_rate
12140,where can i get the form i need to do my taxes,w2
10299,what is 7 x 7,calculator
20749,can you help me find someone to look at my car's engine because the light is on,schedule_maintenance
14844,i may have had fraud committed on my account,report_fraud
15390,can you let me know if it will be warm this week,weather
12715,"what kind of person are you, a cat or dog",do_you_have_pets
14582,when was the last time my car was in the shop,last_maintenance
8720,my luggage has not arrived and i would like assistance locating it,lost_luggage
19980,i would like to reserve a table for 2 at sam's steakhouse under the name jessie at 6:30 pm,restaurant_reservation
11752,please dial christie's number,make_call
15456,how much is my income tax,taxes
12793,i am curious about whether you have pets,do_you_have_pets
11405,i need a reminder set for signing up for the conference,reminder_update
21982,what recreational activities do you enjoy,what_are_your_hobbies
14983,convert inch to cm,measurement_conversion
12855,please help me schedule a meeting with john love at 9 am tomorrow,schedule_meeting
15034,set my oven to 350 for me right now,smart_home
11048,"thanks, that's helpful",thank_you
4703,i need to set the timer for two minutes,timer
10431,could you tell me today's date,date
22019,will you please read the things on my shopping list,shopping_list
12389,what is the calorie look like in apples,calories
19532,send from my bbc money market to my t rowe price money market seven thousand dollars,transfer
20115,"if going to lake placid, ny, how long would it be by bus",distance
10566,what can i carry-on delta flights,carry_on
7118,can you assure me i have a table at taco bell at 7pm,confirm_reservation
13750,how busy is imanas at 6,how_busy
16409,change to factory settings now,reset_settings
2804,do you think they'll let me reserve a table at the olive garden,accept_reservations
10511,i am wanting to know how many carry ons i can take on a flight with southwest airlines to houston,carry_on
14881,send information about suspicious credit card activity,report_fraud
16378,are you feeling okay,greeting
2745,how much is my maximum to spend on credit cards,credit_limit
3090,i would like to report fraudulent activity on my chase card,report_fraud
15954,are any shots recommended before going to kenya,vaccines
15580,how little can i pay for my water bill,min_payment
21752,how to cancel,cancel
14465,does my card charge a fee for use in indonesia,international_fees
19282,how bad is city traffic in miami on friday's at 5 pm,traffic
22493,why was my card declined just now when i tried to buy a jeep at carmax,card_declined
13892,do they accept reservations at michael's,accept_reservations
21231,when should i change these tires,tire_change
20819,i would like you to roll a dice,roll_dice
2420,how many stars does brasserie les halles have,restaurant_reviews
12213,can you alert me when my phone bill is due,bill_due
4920,what's the meaning of this life,meaning_of_life
1339,can i get this car's mpg,mpg
19909,do i have soda on my shopping list if not please add it,shopping_list_update
18626,i will need a rental car since i'm going to travel to new york,car_rental
13573,do you happen to be employed by me,who_do_you_work_for
4729,start a timer for two minutes,timer
17545,can you tell me how to redeem my credit card points,redeem_rewards
3011,remind me of the last date that i got my car checked,last_maintenance
13546,who are you currently working for,who_do_you_work_for
11644,can i use flour instead of cornstarch to make gravy,ingredient_substitution
3609,what should you be called,what_is_your_name
13176,is it time for new tires,tire_change
5637,can you talk in spanish,change_language
10131,what do i have going on may 4th,calendar
14012,i would like to replace the pin number for my retirement account,pin_change
20254,pay my dte bill from my checking account please,pay_bill
17867,do you consider yourself a bot,are_you_a_bot
844,i have to rollover my 401k,rollover_401k
17263,send a text message to alice,text
15538,i want you to tell me the minimum i can pay on my rent bill,min_payment
8349,how much have i spent on food recently,spending_history
17858,are you a person in real life or programmed ai,are_you_a_bot
7860,play next song using this playlist,next_song
11836,please turn on the alarm,alarm
9840,"i don't like that, no",no
17175,i need to know what is on my shopping list,shopping_list
18444,change the ai name,change_ai_name
12654,i need to know my bank of america routing number,routing
7927,please tell me my in-person transactions for the last three days using my debit card,transactions
15129,show me a well reviewed hotel in evans,book_hotel
18057,tell me the month that my card will expire in,expiration_date
22053,send robert a text from me telling him okay,text
19697,what steps can i take to improve my credit score,improve_credit_score
7450,who engineered you,who_made_you
710,"is it possible to change oil, if so how and what do i use",oil_change_how
5937,what is the exact time in the ist time zone,time
12168,i am in need of my w2 for tax reasons; provide me where to get it,w2
8161,what's the point balance on my marriot rewards card,rewards_balance
17311,what's the balance on my bills,bill_balance
11966,"repeat my to do list to me, please",todo_list
10863,tell my bank that i'll be in uruguay during january to august,travel_notification
19928,what are you capable of doing and answering,what_can_i_ask_you
12984,does this take regular unleaded,gas_type
12088,can you swap to male voice,change_accent
9288,what's a nice place to visit a beautiful beach,travel_suggestion
4012,are you real or a computer,are_you_a_bot
9071,how much longer until i need to get my oil changed,oil_change_when
8050,does boise have any good indian restaurants,restaurant_suggestion
12256,when's my heater bill due,bill_due
12293,how do i find when my cable bill is due,bill_due
17045,book me a flight out of la to chicago on march 3rd for under $500,book_flight
20813,"thanks, i appreciate it",thank_you
16031,how many days can i slack off this year,pto_balance
6183,please tell me when my flight will land,flight_status
4762,"i'm cooking an egg, timer for 3 mins",timer
13443,increase the volume level to 4,change_volume
1365,when do you think i ought to change the oil in my car next,oil_change_when
16791,what is the interest rate on my chase slate credit card,interest_rate
12110,where should i go to get a w2 to do my taxes,w2
7502,does it take a long time to get to the airport in la,distance
16023,how many day of my vacation are left for the year,pto_balance
12916,what kind of gas should i use to fill the car,gas_type
17142,what's on my shopping list,shopping_list
2228,list my todo list items,todo_list
2142,can i use pasta sauce instead of tomato paste,ingredient_substitution
4425,what kind of traffic is there at 9:00 on the route to detroit,traffic
10832,inform my bank that i'll be going to europe,travel_notification
5309,i need a pto request for the dates jan 15th to jan 20th,pto_request
20777,let my bank know that i am going to tokyo,travel_notification
7476,this ai was made by what person or team,who_made_you
17778,add jake's birthday party for friday at 5,calendar_update
6876,"what kinds of oil can i use in my car, and how to i change the oil",oil_change_how
13610,credit limit,credit_limit
16395,hey what's up,greeting
19621,i need your help finding my lost phone,find_phone
15823,i'm going to jamaica next week; am i needing a visa,international_visa
9486,add washing dishes to my to do list,todo_list_update
17645,i wanna play the song that goes like hey jude don't make it bad,play_music
