ID,SOURCE,REVIEW BY,REVIEW DATE,REVIEW SUBJECT,text,REVIEW RATING,REVIEW TYPE
11,Trip Advisor,10vee,8/29/2016,Peaceful and Serene place,Spiritual temple at it's best. This place is very very Peaceful and Serene. One can spend entire day at this place for meditation and bhajans,5,POSITIVE
12,Trip Advisor,123Andy1232016,2/10/2016,Huge Temple but kind of mall ! !,"Iskon Temple is about 6 km from Majestic bus stop. When you reach that destination from outside it feels like huge temple but after roaming from inside it feels like we have visited some kind of mall bacause, the temple is nice no doubt about that but there are many things from clothes, eatable stuffs are there for sell which we can experience. I said its one time visit place but must !",5,MIXED
13,Trip Advisor,140komal,9/12/2016,A Krishna temple on a hillock.,"A beautiful,serene temple of Lord Krishna. Has a lovely calm and peaceful ambience and also can be visited as a tourist spot by tourists of any caste.Foreigners also allowed.Strict security and dress code maintained.It is in Rajajinagar, Bangalore,India.Can be reached by taxi or metro.The closest metro station is Yeshwantpur.",5,POSITIVE
14,Trip Advisor,167punithk,8/6/2017,Peaceful and well maintained,If you are looking for peace of mind and to get connected with lord this the place you can visit at any season. This temple is a must visit in bangalore.,4,POSITIVE
15,Trip Advisor,1986anonymous1987,3/10/2015,Place of peace,If you are looking for a peaceful location Iskon is the right choice. A little far from city center but worth visiting. One can also experience its prasadam which is loaded with pure ghee.,3,POSITIVE
16,Trip Advisor,1vasanthy1957,3/13/2015,Divine Food,"Whenever you go to ISKCON ,Bangalore, please do not forget to taste food here.We liked the quality food and the crowd we disliked , but you cant help",4,MIXED
17,Trip Advisor,2005krish,12/19/2016,Worth a visit,"Deserves a visit. One will come to know of the activities of ISKON. Well organized arrangements. Prasada is clean and hygienic and one can buy books, articles and other items related to Lord Krishna. The temple management serve food to schools, conduct spiritual activities and one can rent out halls for functions/weddings.",4,POSITIVE
18,Trip Advisor,203RKrishnan,9/20/2016,A neat and clean temple with a long walk,The temple is a neat and clean place with plenty of place around where you need to walk uphill and on return walk through various displays of temple merchandises and soveniors. visit to the Isckon managed temple is definitely a pleasant experiance,5,POSITIVE
19,Trip Advisor,20kash,1/6/2016,Lovely temple,"Really beautiful, nice area around the temple as well. People are very considerate. Breath taking during festival time. Very approachable, really worth the trip for both devotees and tourists.",5,POSITIVE
20,Trip Advisor,220sunilp,3/11/2015,Beautiful Temple,It was indeed a great experience visiting this magnificent temple. Definitely a must visit for all temple lovers.,4,POSITIVE
21,Trip Advisor,24x7TravellingBoy,2/1/2017,Awesome sculpture and art,The temple is well maintained and has many photo views from entrance to the temple there are many views which are beautiful and can be captured. In the temple the painting on the ceiling is eye capturing. And when you look at the sculpture of lord Krishna and Radha it is also very beautiful. The slowing moving to exit just before it is an canteen where many varieties of food is available at reasonable rate. Had a nice time by listening to mantras at the temple and sitting peacefully.,5,POSITIVE
22,Trip Advisor,251ufejfe,3/30/2017,Calm and Relaxing Place,If you are looking for some peace then visit the temple. It is commercialized but very well maintained too. The idol is magnificent and it is a great place of meditation. They distribute tasty prasad as well,5,POSITIVE
23,Trip Advisor,262Neha,3/28/2014,Peaceful,Once will visit this temple u will peace inside you heart and mind. God sculptures are beautifully dressed. I like the step which is separted with bars before you enter in main temple. Best part is Their bhajan and moving of crowds from one step to other while chanting God's krishna name,5,POSITIVE
24,Trip Advisor,268kps,2/18/2015,highend temple,Generally hindu temples will be in a dark ( particularly moolavar0 here just like a auditorium the god is placed. GOOD. While returning the devotional sprit has gone while passing the commercial area in the temple itself,3,MIXED
25,Trip Advisor,2904heena,12/4/2014,BEAUTIFUL TEMPLE,"Sri radha krishna temple Iskcon is wonderfully designed, beautiful temple, we got in line & we chant hare krishna hare krishna, the experience was so good, the entire family members were feeling god, nice prasadam",5,POSITIVE
26,Trip Advisor,2prathiba,7/20/2016,best Temple,"Neatly maintained and organised temple, must visit for everyone in bangalore , located in heart of city so commute is easy",5,POSITIVE
27,Trip Advisor,30Asha,12/29/2015,Hare Krishna,"The ISKCON temple on cord road is the biggest in Bangalore.If you are in for a spiritual trip the ISKCON is a must.India is a place for spirituality.The devotion and commitment with which the temple pujas are performed is something to experience it yourself.The clean environment, and the systematic ques and darshan is something amazing.You have volunteers all along to guide you and to answer any queries you have.The idols of Radha and Krishna,Balarama are beautifully decorated and radiates peace.There are a number of books awaliable, written by various authors on the Bhagawat Gita. the life of Lord Krishna,and Sri Prabhopadaji the founder of the ISKCON (International society for Krishna Consciousness) The restaurant here serves the best vegetarian food. You can buy snakes at the food court too.So this is one place you must not miss when you are in Bangalore.",4,POSITIVE
28,Trip Advisor,33nair,2/14/2017,"Higher Taste at ISKCON Temple Bangalore""","Excellent veg Buffet.Not many place in Bangalore offer fine dining.While not exactly fine dining,it's almost there.The menu is thoughtful.All kind of veg starters , different types of rice,NIndian and SIndian,noodles.A bit of everything.A little bit of a mish mash but tasty nevertheless.Attention to detail is refreshing.Dessert could have been more imaginative.Pastry and usual range of Indian sweets.All in all pretty satisfying.The decor and presentation could be fine tuned.For Veg buffet is Rs 500 odd too much to pay?Conflicting opinions within our group regarding this Madhavan Nair",4,POSITIVE
29,Trip Advisor,360degree2015,2/19/2015,calm and peace,"once visited iskcon temple, i feel very peace , nice place to take a break from daily hasty life . weekdays much more less crowded, weekend will be hectic.",4,POSITIVE
30,Trip Advisor,365DINESH,11/29/2014,HARE KRISHNA,"Hare krishna hare krishna, very nice temple, excellent location, it was nice darshana of lord krishna with chant of hare krishna hare krishna, we enjoyed the prasadam at temple, wonderful experience, must visit in bangalore",4,POSITIVE
31,Trip Advisor,381poonam,8/22/2016,Hare Krishna,It was imagining i visited ISKCON with my family. I love the architecture and all arrangements and mostly delicious Prasadam.,4,POSITIVE
32,Trip Advisor,385anjanij,7/24/2016,peaceful and Divine,Will relax your mind. Visit after 6pm. Lightning and ambiance is amazing. Hyms are relaxing. Expect good food.,5,POSITIVE
33,Trip Advisor,394rameshh,3/15/2016,"The place spiritually uplifting,","The place is located on a hill, very neatly kept, very disciplined crowd. Note only is the place spiritually thrilling, you get excellent vegetarian food at reasonable prices.",5,POSITIVE
34,Trip Advisor,449vedas,3/14/2017,"Great temple premises""",Definitely a must visit place in Bangalore. One of the most well maintained and beautiful temples in Bangalore.,5,POSITIVE
35,Trip Advisor,567ashishd,5/20/2015,A very calm n serene experience,"Amongst all the chaos you find inner peace and happiness so you know you are in ISKCON. By chaos I meant the number of people visiting it and the long queue all had to be in. Although it was noisy because of so many people around, once you reach inside the temple you will suddenly forget the outside world and...",5,POSITIVE
36,Trip Advisor,5star2013,3/29/2017,Hare Krishna,Wonderful trip to meet Lord Krishna . Godly presence of dear Radha and Krishna is joyous harmony and union,5,POSITIVE
37,Trip Advisor,674santha,7/19/2016,beautiful temple,"Abhay Charanaravinda Bhaktivedanta Swami Prabhupada founded Iskon in 1966 iskon commonly known as hare krishna movement He initiated thousands of Americansand inspite of anti cult acts he got the credit from many religious scholars including Thomas hopkins the temple is largest one and inaugurated by shankar ddayal sharma in 1997 the main shrine is radha krishna and with beautiful decorations every day different colurs of clothes and ornaments which is reallyastonishingt to be seen in few temples like in dwaraka also the priest takes pains to decorate dwarakeshwar which i had seen and relished iskon temple is in north karnataka in rajaji nagar Address: Hare Krishna Hill, Chord Road, Rajaji Nagar, Bengaluru, Karnataka 560010 District: Bengaluru Hours: Open from· 4:15?5AM, 7:15AM?1PM, 4:15?8:20PM Phone: 080 2357 8347 the gajastumba is gold plated 56 ft high and kalash shikara is 28 ft and it is also gold plated in the temple arati is worth watching along with hare rama hare krishna eveybody start dancing and enjoying their performance with sincere prayers. they provide free anna dhanam and distribute prasadams too bus route from majestic or kempakowda bus station to iskon temple next to mahalaxmi lay out entrance is 78e,78a,19e or any mode of transport is available from any part of bangalore city many marriages also being conducted here! so do not miss when you happen to visit bangalore HOPPINS",4,POSITIVE
38,Trip Advisor,767mrai,7/1/2014,better than mumbai iskon,"please try & visit lord Krishna iskon temple which is west-off cross road near by metro,well maintained, open in two secession,they have hall for celebration,where charges are very nominal....thanks to bangalore iskon Visited June 2014",5,POSITIVE
39,Trip Advisor,79chethank,1/26/2017,Divine place,This is one of the biggest ISKCON temples. Interior is well designed. A place that everyone can visit. There's a mall(Orion mall) near to this temple.,5,POSITIVE
40,Trip Advisor,79rahul,8/2/2015,?excellent experience?,"i am a muslim.but,i heard a lot about iskcon temple.so,i visited the temple.i found it a very peaceful place.my mind filled with heavenly peace when i visited the temple.",5,POSITIVE
41,Trip Advisor,810sam,6/17/2015,Divine temple in a huge premises,"Fabulous ISKCON temple in Rajaji Nagar similar to the temples in other major cities such as Mumbai.. However, the size of the premises is huge and you need considerable time for the darshan as well as the various counters selling food items.. very divine atmosphere and one of the must see places in Bangalore, which is included in the city...",5,POSITIVE
42,Trip Advisor,8788tobi,12/23/2016,Peaceful,The place by itself gives peace.. lovely ambiance inside.. well maintained and structured.. but lot to walk...,5,POSITIVE
43,Trip Advisor,889muralik,2/22/2017,Modern Sri Krishna Temple,"This temple is the best place to relax your mind, the main temple is so peaceful with chanting of Hare Krishna !! Hare Krishna !! Krishna Krishna Hare Hare !! .. The bhajans are so devotional , poojas/aarathis are great. You get positive vibes while chanting in the main hall. A must visit place in Bangalore. At the time of krishnastami the place is really good and packed with devotees with lots of chanting s. Its clean and well maintained/organized. Do visit.",4,POSITIVE
44,Trip Advisor,91Pratyush,3/27/2014,Serenity and divinity packed into one!,"It was a spur of the moment decision to visit ISKCON temple but how glad I am that I made that decision. We reached the temple by 6 pm and so we had an hour to roam around before attending the aarti at 7. We went through the whole charade of security check in and shoes and luggage check in. After going though this, few small temples came on the way and after offering our prayers, we made way to the main temple. At the foot of the main temple, you get two ways. Either you can take the normal and directly make your way to the temple or you can take the other way which has a lot of step like structures in a round-robin manner. You are supposed to take one step at a time and chant ""Hare Krishna Hare Krishna Krishna Krishna Hare Hare, Hare Ram Hare Ram Ram Ram Hare Hare"". I suggest you go through this charade. You feel great by the time you enter the temple. The temple hall is just beautiful. The wonderful carvings, the peaceful aura and the mesmerizing idols, simply artistic. We waited for the aarti which was divine indeed. Once you exit the hall, you exit through a lane where a lot of stalls have been put up. Its like a mini shopping complex out there. I was shocked at the commercialization of the temple but it's acceptable when you think of all those coming here. In fact, even we ended up buying an idol. All in all, a must visit place, probably in the morning, though the evenings are not bad either.",5,MIXED
45,Trip Advisor,953sagarg,8/30/2016,Nice and calm place,Uf you want to spend some quality time with peace of mind go to Iskon temple. Mental peace also comes with spiritual atmosphere.,5,POSITIVE
46,Trip Advisor,954vim,8/1/2017,Spiritual Bliss,Iskcon temple offers virtually everything for the spiritual aspirant. Lovely opportunity to chant the Maha Mantra and climb the 108 steps to receive the Darshan of Lord Krishna.,5,POSITIVE
47,Trip Advisor,99emgee147,12/24/2015,A temple for solitude,"A beautiful Hindu experience for all religions. The Hare Rama Hare Krishna chants fills the air with an essence of something very potent and poignant. Reaching the main temple on a hill top you go through hop, scotch and jump exercise which is fun.",4,POSITIVE
48,Google + HK HILL,A Google user,9/18/2014,,Hare Krishna Hare Rama,5,POSITIVE
49,Trip Advisor,A K C,6/10/2015,Fantastic Vegiterian Restaurant,Great Spread! Tasty and variety. Great snacks like Brinjal Fried and Aloo Tikka. The food quality was very good and the ambience,5,POSITIVE
50,Google + HK HILL,A paul,2/23/2017,NA,Peace of mind and beautiful decoration.,5,POSITIVE
51,Trip Advisor,A TripAdvisor Member,9/15/2016,Jamil Temple,"We very much enjoyed our visit to this beautiful temple, a place locals practiced a ritual of worship, a quiet place but avoid the weekends in order to avoid congestion.",4,POSITIVE
52,Trip Advisor,A TripAdvisor Member,9/13/2016,Krishna temple local residents gather,"Was carried out on a Saturday morning around 10 o'clock, we were able to enter to immediately free. Paying 2 rupees at the entrance deposit the shoes, it goes into barefoot. In the middle of the course and the main hall go up the stairs to the main hall, people of devout Hindus have a prayer, myself you are coming by tourism was quite out of place feeling. Inside the main hall, but is worth of decorations and ceiling paintings are very beautiful at first glance ..., I guess that's it. Excessive expectations is taboo. Not a tourist spot view there until over time. Let's taste the atmosphere of the local Krishna temple. By the way, (it is a little exaggerated and say) dress code there is. I have the will become likely caught, that do not show the shin of the leg regardless of gender. I was wearing a short pants length, but it was me through the last minute. And also to say, in the case of NG if lost to the waist passed the cloth bath towel size, put Could you in. Shoulder can be seen (sleeveless) also, such as it was NG ···",3,MIXED
53,Trip Advisor,A TripAdvisor Member,8/15/2016,The temple is not very much,"Temple rather unusual both outside and inside, but we were not particularly impressed by it. At the entrance of the Indians quietly passed, and foreign tourists stopped and asked to make a donation of 300 rupees, but you can ignore it. Just at the entrance it is necessary to leave the shoes, if you have large bags or backpacks and cameras (phones can carry). So all the best to leave valuables at home.",3,MIXED
54,Google + HK HILL,A V H S P RAO,7/29/2016,NA,Good place for a devotional retreat. They often conduct programs on YOGA.,4,POSITIVE
55,Trip Advisor,aa12015,11/5/2015,Calm & mesmerizing,A beautiful temple. Very nicely built and kept clean. The greenery around is also well maintained. A must visit for all.,4,POSITIVE
56,Trip Advisor,aabraham77,4/28/2017,"A place of Peace, Piety and Inspiration","This is indeed a very special place, and it is more inspiring and more spectacular with each visit. I came here in the early days and what has not changes is the cleanliness, the attention to detail and the sheer intensity of prayer and devotion",4,POSITIVE
57,Google + HK HILL,Aaditya Kumar,8/2/2017,NA,Its so nice and peaceful place,5,POSITIVE
58,Google + HK HILL,Aaditya Singh Pawar,5/11/2015,,Great experience to be there Felt blessed as such as god resides here to bless you . The divine power let you feel it?,5,POSITIVE
59,Trip Advisor,aaevi,7/11/2017,Paradise,"Very nice place, every time i visit ...Anybody may spend more than one hour easily. It never makes to feel long as one hour . A wide range of valuable worship items here will make everybody fond of this place.",5,POSITIVE
60,Google + HK HILL,aakash prabhu,6/15/2017,NA,Very clean and great hospitality,5,POSITIVE
61,Trip Advisor,Aaki304558,5/19/2013,Peace,"Hare Rama, Hare Krishna this melody will go to your ear & mind as you enter the premises, its very nicely managed & clean. you have to stand in a que to get Darshan, when you enter the temple you will get relaxed & forget all the tensions, you can sit for a while & enjoy the relax environment.",5,POSITIVE
62,Trip Advisor,Aanjaneya D,9/22/2015,?Nice Temple?,highly recommended temple in Bengaluru. very neat and clean place. it is very refreshing place in Bengaluru.,5,POSITIVE
63,Google + HK HILL,Aarti Dhingra,7/1/2017,NA,Calm and serene place,5,POSITIVE
64,Trip Advisor,aaru1980,12/31/2016,A beautiful temple dedicated to Lord Krishna in Bangalore,"The ISKCON temple is an imposing structure in Yeshwanthpura. The temple is very clean and well maintained. The main hall has beautiful idols of Sri Krishna, Radha, and Balaram, with descriptive paintings of the Lord's birth and life adorning the ceiling. Well mannered volunteers manage the crowd very well. There are sanctums dedicated to Narasimha and Venkateswara too. A must visit for all who come to Bangalore!!!",5,POSITIVE
65,Facebook,Aasheena Verma,4/10/2017,NA,The very essence of divinity and serenity in a single place:) the chants and the aura is takes you through a peaceful ride,5,POSITIVE
66,Trip Advisor,aayushraina,4/25/2013,Inspiring and Well maintained,"I have been to many temples in North India but this one in south I personally like. What makes it different is their system to enter the main temple is designed such a way that no stampeding can happen. They make you chant ""Hare Krishna"" for every step you take and this way the entire queue is well managed.Though the place is getting commercialized but I feel its fine as they have to maintain huge campus and free food facility for the needy. There are books and other items which one can buy as souvenirs to this place. Over all, will recommend this place to all people with religious belief. Visited September 2012",4,POSITIVE
67,Trip Advisor,Abaji,2/8/2016,Well maitianed temple,"Its more of tourist stops than a temple, good for one time visit. Don't like the shopping mall type exp.",3,NEGATIVE
68,Trip Advisor,abchhetri,4/17/2015,Best place in bangalore for peace,"good place, to know Radhika devi dasi passed from this world by the blessings of Guru and Gouranga on Radhastami at 5:05 pm. She had a look of rapture on her face as if she had darshan of Sri Krishna! She is a beacon for all of us. Thank You Srimati Radharani!",4,POSITIVE
69,Google + HK HILL,abdul alim baig,6/12/2017,NA,Peaceful place..,4,POSITIVE
70,Google + HK HILL,abdul subhan,6/7/2016,Na,Nice place,5,POSITIVE
71,Trip Advisor,abeezith,3/7/2016,Good Place to visit and get some peaceful time,It's a good place to visit and get some peaceful time. It offers good food options at reasonable cost.,5,POSITIVE
72,Trip Advisor,AbhaNanda,3/29/2017,Magnificent and Clean Temple,"ISKCON temple at Bangalore is really clean and well maintained, the queues are orderly. There is sufficient parking space for the car and the temple also has a very good Satwik Food restaurant called Higher Taste - which has really good Biryani and Paneer. Be sure to carry a shawl / pull over - as you are not allowed to enter in Shorts or with shoulder less dresses.",5,POSITIVE
73,Google + HK HILL,Abhay Shankar,6/15/2017,NA,The route guided was having more traffic and it was tedious and long,1,NEGATIVE
74,Trip Advisor,Abhay55,8/22/2016,Lots of stairs to climb,The temple is wonderfully built and its architecture and interiors are marvelous. The Prasad served is very tasty and wholesome. The only thing that I felt amiss is that the temple is too high and one has to walk a lot and climb many steps which is slightly distressful for aged people.,4,MIXED
75,Trip Advisor,AbhayMulik,1/21/2017,Completely commercialized .....,Like most of temples in India this place is too highly commercialized. Families would love it though.,1,NEGATIVE
76,Facebook,Abhi Acharya,2/9/2017,NA,Me and my friends enjoying the evening spending time at Iskcon temple lord Krishna's Bhajana sankeerthana...also the lord Dharshana.,5,POSITIVE
77,Trip Advisor,Abhi13anan,12/29/2015,Peace within... and outside,This place is within the city limits.. hence choosing the time of day is important... we prefer to visit the place on normal days by 11 AM to get an sober darshan.. prasad.. relax time inside the temple.. and then the food in the restaurant (which is free till 1 PM) on regular day. Good for some memorabilia from the shops within the premises... Parking is not a problem.,4,POSITIVE
78,Trip Advisor,abhi2103,9/6/2016,Amazing Resplendence but..,"Much like most other ISCKON temples, the grandeur of the temple is nothing short of mesmerizing. One can sit and keep adoring the beauty all day. Te inside of the main temple is breath-taking and stunning. There is however something that I don't like about it is the way it is deliberately given an angle of a shopping center with limitless merchandises that one can buy. It is really commercialized, if you will! Other than which, there is really no ticket to visit the temple. It is located right by the Orion mall so while you are there, it is certainly worth your time unless you are an atheist. There is also a nice restaurant right behind the temple - Higher Taste - that one must try out for a finger licking dining experience!",4,MIXED
79,Trip Advisor,abhi2502,12/3/2014,Good view. No cameras allowed outside,Food inside is average. Its more like a shopping mall of worship. They do not allow cameras outside as well.,3,NEGATIVE
80,Trip Advisor,Abhi26_Travels,2/6/2015,"Calm, Peaceful and Well maintained","I have visited several Isckon Temples in and outside India. The Temple is well maintained and location is also good. You can walk in at ease and offer your prayers, sit down and relax for a while listening to the chantings or observe Aarti. They server really nice food. And because of the nice location you also get to see nice Sunset from here. The place gets crowded on weekends specially during evenings so plan accordingly.",4,POSITIVE
81,Trip Advisor,Abhi9Dhari,2/5/2016,One of the most beautiful ISCON temples in the world,One is a while when you are bored of the crazy weekend parties and fine dine with corporate colleagues; Coming to this temple will make you feel calm and peaceful.,5,POSITIVE
82,Trip Advisor,Abhieshek,7/10/2017,Beautiful ! A must visit,A very beautiful temple. Well maintained and has good views from the top. The food here is a must try and is reasonably priced.,5,POSITIVE
83,Google + HK HILL,Abhijeet Aelkatwad,7/31/2014,,Its opening time is 7.30am to 1pm and 4.30pm to 7.30pm,3,NEUTRAL
84,Trip Advisor,Abhijeet C,10/24/2013,must visit,Do visit the ISKCON temple and enjoy the food at the enarby restaurant. Also the prasad inside is very good. The knowledge sessions on Sri Krishna is also very good,5,POSITIVE
85,Trip Advisor,Abhijeet1221,8/19/2015,"?Nice place to visit, at least once!?","Nice place to visit, specially with friends. However, the place should be avoided during weekends due to rush.",4,MIXED
86,Trip Advisor,Abhijit D,6/22/2016,"Awesome place""","Best time to visit the temple is in the evening, even though you miss the delicious prasada served for the lunch.",5,POSITIVE
87,Google + HK HILL,Abhijit HR,3/9/2017,NA,Nice Place,5,POSITIVE
88,Trip Advisor,Abhijit81,7/9/2015,?Visit to iscon?,If you are in Bangalore and wanted to see beautiful architecture. Iscon will be in your priority list. Prefer afternoon time rush is less.,5,POSITIVE
89,Trip Advisor,Abhijith A,3/23/2017,A commercialized Temple,"This place is highly commercialized, so if you are seeking spiritual feel. I am not sure, you will get it here. Still I appreciate the charity works done by Management",4,NEGATIVE
90,Trip Advisor,Abhik G,4/16/2017,Where god meets it's devotees,"Well the title says it all. This place is well barricaded, well maintained by the sevaks/security personnel who in turn guide the devotees to the main temple. Though it feels a little frustrating as you have to walk a long way up to the main temple but as you reach the main temple mere darshan of holy god takes away all your tiredness. I did not liked the way ISKCON is marketing Krishna but it's my personal view. This place is good for people who are able to walk properly and balance themselves as there's a lot of push and pull due to huge crowd gatherings. The free prasadam counter is at a very narrow corner. The temple trustee may rethink of moving it. I have visited the temple more than couple of times but will advise people/bhakts to avoid Sunday's or any special holy day since its overcrowded and it leads to fracas between the temple securities/sevaks who maintain the huge queues and even at the pvt. car entrance. For aged people although they have offered wheel chair service but it will be good if they provide sevaks to push the wheel chairs as well. Overall the experience of visiting this place is heavenly as you enter the garbha gruha or main temple you forget all your complaints,that's the beauty of god. So just a word of advice try avoid this place on overcrowded days and don't take aged people along with you who can't walk properly. The views are entirely personal not meant to be hurt anyone. Jai shree krishna!!!",4,MIXED
91,Trip Advisor,Abhilash N,9/18/2016,Best place must visit,"While reaching the main gate of temple in rajajinagar our driver guided to hurry up, We rushed into the main gate because temple will be closing around 1 Pm, security people allowed us inside it was very nice and peaceful environment, while visiting the temple main hall, bhajans and chanting hare Krishna hare rama will make you a peaceful mind. temple closed around 1 Pm While coming back had seen people are selling photos and small idols of Lord Krishna with other books and toys had also scene fresh sweets and snacks selling in very hygienic environment we had launch as prasadam sponsored by a well wisher of krishna devotees, it was nice relaxed refreshing mind while stepping down from the temple",5,POSITIVE
92,Google + HK HILL,abhilash palivela,12/30/2015,,Compared to other iskcon temples. This is One of the best architecture. Nice place to visit,5,POSITIVE
93,Trip Advisor,abhilashc1981,12/22/2013,Great mahamangalarati,"Try to make it to the mahamangalarati at around 8 PM. It's a good experience. But, be prepared for crowds. Not too much but plenty. The stalls are pretty commercialized.",4,MIXED
94,Trip Advisor,abhimasen,12/14/2015,A MUST Place to see in Bangalore,"This is a Beautiful place and an Excellent Temple in a picturesque location. After the Darshanam of all the Gods have the prasadam at the Temple. Also varieties of tasty food stuff is available inside the Temple. There is a star Hotel at the back of the temple ""HEIGHER TASTE"" One has to eat there.This is the only hotel attached to the Temple where on can taste the excellent food. One cannot make out the food is prepared without GARLIC. Keep some time on the morning to have Darshanam and classic Lunch.",5,POSITIVE
95,Google + HK HILL,Abhinav Mishra,7/7/2014,,Must visit at least once if you are in bangalore.,5,POSITIVE
96,Google + HK HILL,Abhinesh krishnan,6/19/2014,,Hare Rama Hare Krishna,5,POSITIVE
97,Trip Advisor,abhi-priya,5/17/2013,Good,"i have seen delhi ISKCON temple as well,i think this is bigger than delhi temple ,holy place,feeling relax ,lift,food are there.",5,POSITIVE
98,Google + HK HILL,Abhiroop Dey,12/24/2016,NA,Brilliant atmosphere and a peaceful ambience.,5,POSITIVE
99,Facebook,Abhisek Nayak,6/14/2017,NA,Liked the mind blowing infra and design of the temple. Also very organised and always ready place to accommodate a large crowd. Overall experience was good. But found it too much commercialized. Hare Krishna!,4,MIXED
100,Trip Advisor,abhishek a,7/4/2016,Hare Krishna,"This place should be in your list if you have devotional bend of mind. In fact, even if you dont, just visit the place for the grand feeling. The place is calm, clean, serene. The food options is as good as any good sweet shop (with same price although). You can take the special pass for quicker access to darshans.",5,POSITIVE
101,Trip Advisor,abhishek a,12/2/2015,One of thr attractions,"Built on the top of a hill, ISKCON becomes much more attractive in the day time with sunlight reflections. The paintings and the culture followed is nice.",4,POSITIVE
102,Facebook,Abhishek AB,6/15/2015,,Iskcon is best peaceful place in Bangalore because of Lord Krishna,5,POSITIVE
103,Google + HK HILL,Abhishek Amrutham,3/29/2017,NA,Great experience....Beauty of divine.,5,POSITIVE
104,Google + HK HILL,abhishek bhadula,12/24/2015,,Best example of architecture. Also the positivity in the temple is good . It should be a must visit if you are in Bangalore.,4,POSITIVE
105,Facebook,Abhishek Chattopadhyay,6/26/2017,NA,Its a nice place to visit with your loved one and family. Total peace of mind.,5,POSITIVE
106,Google + HK HILL,abhishek h,1/8/2017,NA,Very good place with proper disciplines followed.....,5,POSITIVE
107,Google + HK HILL,abhishek hb,7/12/2017,NA,Peaceful and meditative environment..,5,POSITIVE
108,Google + HK HILL,Abhishek Indwar,6/11/2017,NA,This is a very calm and quiet place. The campus is lush green. A very well organised place.,4,POSITIVE
109,Trip Advisor,Abhishek M,4/7/2017,Good temple,"Good temple i like the temple, Nicely maintained, cleanliness and queue for footwear and bags, etc. Good place to buy things for worship like books, and other articles, prices are reasonable. Food served is good but limited space to sit and eat. Parshad is also nice.",4,POSITIVE
110,Trip Advisor,Abhishek S,1/1/2016,beautiful temple in the heat of city..,I had heard a lot about the ISKCON temple in bangalore and finally got a chance to visit.. beautiful temple on a hill overlooking the city. must visit..,5,POSITIVE
111,Trip Advisor,Abhishek S,5/26/2017,Must Visit Place,Awesome place. What a experience this was. Huge temple of Lord Radhe Krishna. This temple is one of the largest ISKCON TEMPLE of India.,5,POSITIVE
112,Google + HK HILL,Abhishek Sahay,3/24/2017,NA,"Its nice to be here, neat and clean, well behavior more over its very piece full place, like to visit oftenly.",5,POSITIVE
113,Google + HK HILL,abhishek soni,11/4/2016,NA,Its not a temple. It is more like a shopping complex. No Peace.,1,NEGATIVE
114,Google + HK HILL,Abhishek Taneja,8/16/2016,NA,awesome,5,POSITIVE
115,Google + HK HILL,Abhishek Tiwari,2/7/2017,NA,Must Visit,5,POSITIVE
